event_type,seq_id,time_stamp
event_4,device_14,8.846200584952639
event_5,device_13,9.875693785529544
event_1,device_3,15.06359432699104
event_5,device_13,18.909784787042156
event_3,device_20,25.28008487457133
event_1,device_3,25.845739157304607
event_4,device_14,28.57114825914685
event_4,device_14,29.393602070371156
event_3,device_20,31.80650944203087
event_3,device_20,32.090112042370656
event_3,device_20,35.43127318061912
event_3,device_20,37.791165061207195
event_3,device_20,41.01753271730777
event_2,device_24,46.133815362447166
event_2,device_24,50.306567292863534
event_1,device_3,51.33699813277275
event_4,device_14,52.64086615323982
event_4,device_14,57.479571333932874
event_1,device_3,58.52468537699307
event_3,device_20,59.001667638338624
event_3,device_20,64.5495980431655
event_2,device_24,70.60181919887084
event_1,device_3,70.76538445341643
event_1,device_3,76.31387425923796
event_2,device_24,76.49693027953843
event_4,device_14,79.51803419964898
event_4,device_14,84.3528288567004
event_1,device_3,84.87708204498553
event_1,device_3,91.19322602253989
event_4,device_14,94.63337584935825
event_2,device_24,99.38708243412715
event_1,device_3,101.34095031829648
event_5,device_13,103.19378079909478
event_5,device_13,114.53540396028556
event_3,device_20,121.3446193279923
event_4,device_14,122.74341036757771
event_2,device_24,123.24632016454196
event_4,device_14,126.77983507210739
event_3,device_20,134.72665596432188
event_3,device_20,135.35566019145713
event_1,device_3,135.7400909859065
event_1,device_3,138.12463700177824
event_1,device_3,138.29313926131812
event_2,device_24,143.76484968755304
event_5,device_13,149.8038498267959
event_1,device_3,152.28232315687168
event_5,device_13,155.75052527946033
event_1,device_3,157.45362591643354
event_3,device_20,159.89864697823856
event_4,device_14,160.0038425001173
event_1,device_3,161.26442128700054
event_3,device_20,171.2162005127768
event_1,device_3,180.1830348521884
event_1,device_3,185.12282158212213
event_4,device_14,186.75414275203863
event_5,device_13,188.0725700008413
event_1,device_3,189.19229921501363
event_1,device_3,192.9064251674496
event_4,device_14,197.10196471149436
event_4,device_14,202.3173871090875
event_4,device_14,206.06621854995282
event_1,device_3,216.45507312577058
event_5,device_13,221.62006388838205
event_4,device_14,225.46316679665088
event_3,device_20,227.55507935692287
event_2,device_24,240.33918150503214
event_3,device_20,241.97325374662205
event_2,device_24,242.7007026354446
event_1,device_3,243.18517305815766
event_3,device_20,245.60035572324338
event_4,device_14,246.66905730179815
